ROWNUM;Name;Location;Type;TypePhoto;Power;AdmArea;X_WGS;Y_WGS;GLOBALID;
529;"Часы";"Академическая Б.ул., д39 стадион ""Наука""";"КП 098-03";"";"0.12";"Северный АО";"37.532644";"55.832762";"92386878";
530;"Часы";"Бронная Б.ул., д14 СГУП ""Мосгорсвет""";"КП-098";"";"0.125";"Центральный АО";"37.600459";"55.762475";"92386879";
531;"Часы";"Дорогомиловская Б.ул., пересечение с Кутузовским просп.";"КП 098-01";"";"0.12";"Западный АО";"37.553053";"55.74635";"92386880";
532;"Часы";"Каменщики Б.ул., д3";"КП 098-01";"";"0.12";"Центральный АО";"37.653318";"55.739763";"92386881";
533;"Часы";"Пироговская Б.ул., д53/55 Новодевичий монастырь";"КП 098-01";"";"0.12";"Центральный АО";"37.561226";"55.727479";"92386882";
534;"Часы";"Полянка Б.ул., д10/4 пересечение с ул Якиманка";"КП 098-01";"";"0.12";"Центральный АО";"37.61604";"55.739852";"92386883";
535;"Часы";"Минская ул., д14 А";"АЧС-800";"";"0.08";"Западный АО";"37.483487";"55.739123";"92386884";
536;"Часы";"Черкизовская Б.ул., д3 к1 м ""Преображенская площадь""";"КП 098-01";"";"0.125";"Восточный АО";"37.716933";"55.796818";"92386885";
537;"Часы";"Черкизовская Б.ул., д11 пересечение с ул.Халтуринская";"КП 098-01";"";"0.12";"Восточный АО";"37.728644";"55.798468";"92386886";
538;"Часы";"Черкизовская Б.ул., н-в д22 к1 у церкви Ильи Пророка Ильи Пророка";"КП 098-01";"";"0.125";"Восточный АО";"37.734906";"55.799549";"92386887";
539;"Часы";"Якиманка Б.ул., д45 м ""Октябрьская""-радиальная";"КП-098";"";"0.125";"Центральный АО";"37.612412";"55.731588";"92386888";
540;"Часы";"Донского Дмитрия б-р, д2";"КП 098-01";"";"0.12";"Юго-Западный АО";"37.577761";"55.570903";"92386889";
541;"Часы";"Беговая ул., д22 пересечение с Боткинским пр.";"КП 098-01";"";"0.12";"Северный АО";"37.557838";"55.779329";"92386890";
542;"Часы";"Бойцовая ул., д11 пересечение с ул.4-я Гражданская";"КП 098-04/1";"";"0.14";"Восточный АО";"37.715628";"55.809379";"92386892";
543;"Часы";"Бойцовая ул., д21-23,б-р Маршала Рокоссовского";"КП 098-04/1";"";"0.014";"Восточный АО";"37.721021";"55.813763";"92386893";
544;"Часы";"Боровицкая пл., у Б. Каменного моста";"КП 098-01";"";"0.12";"Центральный АО";"37.610429";"55.748501";"92386894";
545;"Часы";"Боровское шоссе, д39";"КП 098-01";"";"0.125";"Западный АО";"37.357225";"55.640665";"92386895";
546;"Часы";"60 лет Октября просп., д21 к1 пересечение с ул.Шверника";"КП 098-01";"";"0.125";"Юго-Западный АО";"37.576367";"55.692806";"92386896";
547;"Часы";"Щипковский 1-й пер., напротив д1";"КП 098-01";"";"0.125";"Южный АО";"37.628432";"55.72137";"92386897";
548;"Часы";"Донского Дмитрия б-р, д9/1 м.""Бульвар Дмитрия Донского""";"КП 098-01";"";"0.125";"Юго-Западный АО";"37.576943";"55.570061";"92386898";
549;"Часы";"Дмитровское шоссе, д107";"КП 098-01";"";"0.125";"Северный АО";"37.545709";"55.878359";"92386899";
550;"Часы";"Ярославское шоссе, д26 пересечение с ул.Вешних Вод";"КП 098-01";"";"0.125";"Северо-Восточный АО";"37.690604";"55.859949";"92386900";
551;"Часы";"Ярославское шоссе, д142 пересечение с ул.Егора Абакумова";"КП 098-01";"";"0.125";"Северо-Восточный АО";"37.720026";"55.877732";"92386901";
552;"Часы";"Варварка ул., д8 Москворецкая ул.";"КП 098-01";"";"0.125";"Центральный АО";"37.627811";"55.752669";"92386902";
553;"Часы";"Кухмистерова ул., д10 пересечение с Шоссейной ул.";"КП 098-01";"";"0.125";"Юго-Восточный АО";"37.723971";"55.685265";"92386903";
554;"Часы";"Лавочкина ул., д32 пересечение с местным пр-дом";"КП 098-01";"";"0.125";"Северный АО";"37.493394";"55.855576";"92386904";
555;"Часы";"Кожевническая ул., д26 Новоспасский мост";"КП 098-01";"";"0.125";"Центральный АО";"37.650439";"55.727754";"92386905";
